Country,Description,Quantity,Rank,Performing
Australia, DOLLY GIRL BEAKER,200,58.0,General performer
Australia, I LOVE LONDON MINI BACKPACK,4,127.0,General performer
Australia,10 COLOUR SPACEBOY PEN,48,107.0,General performer
Australia,12 PENCIL SMALL TUBE WOODLAND,384,25.0,Top Performer
Australia,12 PENCILS TALL TUBE POSY,252,45.0,General performer
Australia,12 PENCILS TALL TUBE RED RETROSPOT,12,122.0,General performer
Australia,16 PIECE CUTLERY SET PANTRY DESIGN,24,115.0,General performer
Australia,20 DOLLY PEGS RETROSPOT,24,115.0,General performer
Australia,3 HOOK HANGER MAGIC GARDEN,12,122.0,General performer
Australia,3 STRIPEY MICE FELTCRAFT,201,57.0,General performer
Australia,3 TIER CAKE TIN GREEN AND CREAM,32,112.0,General performer
Australia,3 TIER CAKE TIN RED AND CREAM,48,107.0,General performer
Australia,36 DOILIES VINTAGE CHRISTMAS,288,36.0,Top Performer
Australia,36 PENCILS TUBE RED RETROSPOT,385,24.0,Top Performer
Australia,36 PENCILS TUBE SKULLS,128,75.0,General performer
Australia,4 TRADITIONAL SPINNING TOPS,700,9.0,Top Performer
Australia,6 GIFT TAGS VINTAGE CHRISTMAS ,216,52.0,General performer
Australia,6 RIBBONS RUSTIC CHARM,144,71.0,General performer
Australia,60 CAKE CASES VINTAGE CHRISTMAS,240,49.0,General performer
Australia,70'S ALPHABET WALL ART,6,125.0,General performer
Australia,72 SWEETHEART FAIRY CAKE CASES,120,78.0,General performer
Australia,ABC TREASURE BOOK BOX ,360,27.0,Top Performer
Australia,ADVENT CALENDAR GINGHAM SACK,18,118.0,General performer
Australia,ALARM CLOCK BAKELIKE CHOCOLATE,50,105.0,General performer
Australia,ALARM CLOCK BAKELIKE GREEN,78,93.0,General performer
Australia,ALARM CLOCK BAKELIKE IVORY,62,100.0,General performer
Australia,ALARM CLOCK BAKELIKE ORANGE,8,124.0,General performer
Australia,ALARM CLOCK BAKELIKE PINK,58,102.0,General performer
Australia,ALARM CLOCK BAKELIKE RED ,78,93.0,General performer
Australia,ANIMALS AND NATURE WALL ART,48,107.0,General performer
Australia,APOTHECARY MEASURING JAR,6,125.0,General performer
Australia,ASSORTED BOTTLE TOP  MAGNETS ,120,78.0,General performer
Australia,ASSORTED COLOUR MINI CASES,4,127.0,General performer
Australia,ASSORTED COLOURS SILK FAN,600,10.0,Top Performer
Australia,ASSORTED EASTER GIFT TAGS,144,71.0,General performer
Australia,BAKING MOULD EASTER EGG MILK CHOC,6,125.0,General performer
Australia,BAKING MOULD EASTER EGG WHITE CHOC,48,107.0,General performer
Australia,BAKING SET 9 PIECE RETROSPOT ,112,82.0,General performer
Australia,BAKING SET SPACEBOY DESIGN,186,62.0,General performer
Australia,BELLE JARDINIERE CUSHION COVER,4,127.0,General performer
Australia,BICYCLE SAFTEY WALL ART,180,63.0,General performer
Australia,BINGO SET,144,71.0,General performer
Australia,BIRDHOUSE GARDEN MARKER ,60,101.0,General performer
Australia,BIRTHDAY PARTY CORDON BARRIER TAPE,24,115.0,General performer
Australia,BISCUIT TIN 50'S CHRISTMAS,216,52.0,General performer
Australia,BISCUIT TIN VINTAGE CHRISTMAS,432,18.0,Top Performer
Australia,BISCUIT TIN VINTAGE GREEN,60,101.0,General performer
Australia,BISCUIT TIN VINTAGE RED,60,101.0,General performer
Australia,BLACK DINER WALL CLOCK,2,129.0,General performer
Australia,BLACK RECORD COVER FRAME,192,61.0,General performer
Australia,BLACK/BLUE POLKADOT UMBRELLA,18,118.0,General performer
Australia,BLUE 3 PIECE POLKADOT CUTLERY SET,6,125.0,General performer
Australia,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,96,90.0,General performer
Australia,BLUE COAT RACK PARIS FASHION,36,110.0,General performer
Australia,BLUE DINER WALL CLOCK,18,118.0,General performer
Australia,BLUE GIANT GARDEN THERMOMETER,36,110.0,General performer
Australia,BLUE HAPPY BIRTHDAY BUNTING,112,82.0,General performer
Australia,BLUE HARMONICA IN BOX ,720,8.0,Top Performer
Australia,BLUE OWL SOFT TOY,12,122.0,General performer
Australia,BLUE POLKADOT BOWL,216,52.0,General performer
Australia,BLUE POLKADOT CUP,192,61.0,General performer
Australia,BLUE POLKADOT PLATE ,200,58.0,General performer
Australia,BLUE VINTAGE SPOT BEAKER,112,82.0,General performer
Australia,BOX OF 6 CHRISTMAS CAKE DECORATIONS,36,110.0,General performer
Australia,BOX OF 6 MINI 50'S CRACKERS,6,125.0,General performer
Australia,BOX OF 6 MINI VINTAGE CRACKERS,6,125.0,General performer
Australia,BOX/12 CHICK & EGG IN BASKET,60,101.0,General performer
Australia,BOYS VINTAGE TIN SEASIDE BUCKET,32,112.0,General performer
Australia,BREAD BIN DINER STYLE MINT,8,124.0,General performer
Australia,BREAD BIN DINER STYLE PINK,8,124.0,General performer
Australia,BREAD BIN DINER STYLE RED ,16,119.0,General performer
Australia,BUFFALO BILL TREASURE BOOK BOX,360,27.0,Top Performer
Australia,BUFFALO BILL WALL ART ,48,107.0,General performer
Australia,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,193,60.0,General performer
Australia,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,145,70.0,General performer
Australia,BUTTON BOX ,100,88.0,General performer
Australia,CABIN BAG VINTAGE PAISLEY,3,128.0,General performer
Australia,CAKE PLATE LOVEBIRD WHITE,72,97.0,General performer
Australia,CARD BILLBOARD FONT,12,122.0,General performer
Australia,CARD BIRTHDAY COWBOY,144,71.0,General performer
Australia,CARD CHRISTMAS VILLAGE,96,90.0,General performer
Australia,CARD CIRCUS PARADE,156,67.0,General performer
Australia,CARD DOLLY GIRL ,372,26.0,Top Performer
Australia,CARD WEDDING DAY,144,71.0,General performer
Australia,CARROT CHARLIE+LOLA COASTER SET,24,115.0,General performer
Australia,CERAMIC STRAWBERRY TRINKET TRAY,12,122.0,General performer
Australia,CHARLIE & LOLA WASTEPAPER BIN FLORA,24,115.0,General performer
Australia,CHARLIE + LOLA BISCUITS TINS,24,115.0,General performer
Australia,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",96,90.0,General performer
Australia,CHARLOTTE BAG PINK POLKADOT,10,123.0,General performer
Australia,CHILDREN'S CIRCUS PARADE MUG,49,106.0,General performer
Australia,CHILDRENS CUTLERY CIRCUS PARADE,73,96.0,General performer
Australia,CHILDRENS CUTLERY DOLLY GIRL ,145,70.0,General performer
Australia,CHILDRENS CUTLERY POLKADOT BLUE,72,97.0,General performer
Australia,CHILDRENS CUTLERY POLKADOT PINK,72,97.0,General performer
