CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
12346,326,1,77183.6,5,1,5,515,Inactive
12347,2,182,4310.0,1,5,5,155,Inactive
12348,75,31,1797.24,4,3,4,434,Potential Loyalists
12349,19,73,1757.55,2,4,4,244,Potential Loyalists
12350,310,17,334.4,5,2,2,522,Inactive
12352,36,85,2506.04,3,4,5,345,Consistent Buyers
12353,204,4,89.0,5,1,1,511,Inactive
12354,232,58,1079.4,5,4,4,544,VIP
12355,214,13,459.4,5,1,2,512,Inactive
12356,23,59,2811.43,2,4,5,245,Potential Loyalists
12357,33,131,6207.67,2,5,5,255,Potential Loyalists
12358,2,19,1168.06,1,2,4,124,Inactive
12359,58,245,6310.03,3,5,5,355,Consistent Buyers
12360,52,129,2662.06,3,5,5,355,Consistent Buyers
12361,287,10,189.9,5,1,1,511,Inactive
12362,3,266,5226.23,1,5,5,155,Inactive
12363,110,23,552.0,4,2,3,423,Inactive
12364,8,85,1313.1,1,4,4,144,Inactive
12365,291,22,641.38,5,2,3,523,Inactive
12367,4,11,168.9,1,1,1,111,Inactive
12370,51,166,3541.94,3,5,5,355,Consistent Buyers
12371,45,63,1887.96,3,4,4,344,Consistent Buyers
12372,72,52,1298.04,3,3,4,334,Potential Loyalists
12373,311,14,364.6,5,1,2,512,Inactive
12374,25,33,742.9300000000001,2,3,3,233,Potential Loyalists
12375,11,17,457.5,1,2,2,122,Inactive
12377,315,77,1628.12,5,4,4,544,VIP
12378,130,219,4008.62,4,5,5,455,VIP
12379,82,40,852.24,4,3,3,433,Potential Loyalists
12380,22,104,2724.81,2,4,5,245,Potential Loyalists
12381,5,87,1845.31,1,4,4,144,Inactive
12383,185,99,1850.56,5,4,4,544,VIP
12384,29,27,585.27,2,2,3,223,Inactive
12386,338,10,401.9,5,1,2,512,Inactive
12388,16,100,2780.66,2,4,5,245,Potential Loyalists
12390,80,32,549.84,4,3,3,433,Potential Loyalists
12391,22,93,439.66,2,4,2,242,Potential Loyalists
12393,72,64,1582.6000000000001,3,4,4,344,Consistent Buyers
12394,64,27,1272.48,3,2,4,324,Inactive
12395,19,156,3018.63,2,5,5,255,Potential Loyalists
12397,36,126,2409.9,3,5,5,355,Consistent Buyers
12398,46,85,1635.6599999999999,3,4,4,344,Consistent Buyers
12399,119,59,1108.65,4,4,4,444,VIP
12401,303,5,84.3,5,1,1,511,Inactive
12402,323,11,225.6,5,1,1,511,Inactive
