Description,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
 4 PURPLE FLOCK DINNER CANDLES,2,37,265.65999999999997,1,3,2,132,Inactive product or newly launched
 50'S CHRISTMAS GIFT BAG LARGE,1,109,2272.25,1,4,4,144,Inactive product or newly launched
 DOLLY GIRL BEAKER,1,135,2754.5,1,4,5,145,Inactive product or newly launched
 I LOVE LONDON MINI BACKPACK,2,69,1449.8500000000001,1,3,4,134,Inactive product or newly launched
 I LOVE LONDON MINI RUCKSACK,65,1,4.15,4,1,1,411,Inactive product or newly launched
 NINE DRAWER OFFICE TIDY,2,30,777.9,1,3,3,133,Inactive product or newly launched
 OVAL WALL MIRROR DIAMANTE ,1,59,1050.0,1,3,4,134,Inactive product or newly launched
 RED SPOT GIFT BAG LARGE,1,92,2023.5,1,4,4,144,Inactive product or newly launched
 SET 2 TEA TOWELS I LOVE LONDON ,170,197,7190.95,5,5,5,555,MVP
 SPACEBOY BABY GIFT SET,1,142,7048.549999999999,1,4,5,145,Inactive product or newly launched
 TOADSTOOL BEDSIDE LIGHT ,178,1,17.9,5,1,1,511,Inactive product or newly launched
 TRELLIS COAT RACK,7,47,1016.5500000000001,3,3,4,334,Potential products
10 COLOUR SPACEBOY PEN,2,243,5209.17,1,5,5,155,Inactive product or newly launched
12 COLOURED PARTY BALLOONS,3,142,1359.65,2,4,4,244,Potential products
12 DAISY PEGS IN WOOD BOX,55,66,531.3,4,3,3,433,Potential products
12 EGG HOUSE PAINTED WOOD,1,64,1425.27,1,3,4,134,Inactive product or newly launched
12 HANGING EGGS HAND PAINTED,2,8,83.2,1,2,2,122,Inactive product or newly launched
12 IVORY ROSE PEG PLACE SETTINGS,89,92,936.25,4,4,4,444,MVP
12 MESSAGE CARDS WITH ENVELOPES,1,194,2578.6499999999996,1,5,4,154,Inactive product or newly launched
12 PENCIL SMALL TUBE WOODLAND,1,286,2545.3,1,5,4,154,Inactive product or newly launched
12 PENCILS SMALL TUBE RED RETROSPOT,1,311,4096.650000000001,1,5,5,155,Inactive product or newly launched
12 PENCILS SMALL TUBE SKULL,1,299,4230.55,1,5,5,155,Inactive product or newly launched
12 PENCILS TALL TUBE POSY,54,173,1161.1799999999998,4,5,4,454,MVP
12 PENCILS TALL TUBE RED RETROSPOT,2,243,2240.31,1,5,4,154,Inactive product or newly launched
12 PENCILS TALL TUBE SKULLS,1,218,1705.6599999999999,1,5,4,154,Inactive product or newly launched
12 PENCILS TALL TUBE WOODLAND,1,209,1571.6499999999999,1,5,4,154,Inactive product or newly launched
12 PINK HEN+CHICKS IN BASKET,233,14,104.55,5,2,2,522,Inactive product or newly launched
12 PINK ROSE PEG PLACE SETTINGS,140,21,267.5,5,2,2,522,Inactive product or newly launched
12 RED ROSE PEG PLACE SETTINGS,1,81,490.0,1,4,3,143,Inactive product or newly launched
15 PINK FLUFFY CHICKS IN BOX,36,7,29.5,4,1,1,411,Inactive product or newly launched
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2,216,9374.7,1,5,5,155,Inactive product or newly launched
16 PC CUTLERY SET PANTRY DESIGN,200,1,63.8,5,1,1,511,Inactive product or newly launched
16 PIECE CUTLERY SET PANTRY DESIGN,2,46,3018.2999999999997,1,3,5,135,Inactive product or newly launched
18PC WOODEN CUTLERY SET DISPOSABLE,59,24,595.15,4,2,3,423,Inactive product or newly launched
2 DAISIES HAIR COMB,77,1,17.700000000000003,4,1,1,411,Inactive product or newly launched
2 PICTURE BOOK EGGS EASTER BUNNY,30,19,197.5,4,2,2,422,Inactive product or newly launched
2 PICTURE BOOK EGGS EASTER CHICKS,2,19,201.25,1,2,2,122,Inactive product or newly launched
2 PICTURE BOOK EGGS EASTER DUCKS,30,16,143.75,4,2,2,422,Inactive product or newly launched
20 DOLLY PEGS RETROSPOT,1,184,3017.5,1,5,5,155,Inactive product or newly launched
